CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO ALUNO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento ;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;;;;
9;Semestre de conclusão do curso;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1 - Primeiro semestre
2 - Segundo semestre
Se o campo Semestre de conclusão do curso for informado com valor inválido, deverá apresentar a mensagem ""Preencher com um dos valores: (vazio),1,2""";"Se ""Semestre de conclusão do curso"" for informado para Universidade Federal, apresentar mensagem ""Não pode ser informado quando a IES é uma Universidade Federal""

Para IES que não são Universidades Federais, se situação de vínculo do aluno é ""Formado"" e não for informado o ""Semestre de Conclusão do Curso"", apresentar mensagem ""Campo obrigatório quando a situação do vínculo do aluno for Formado""

Para IES que não são Universidades Federais, se situação de vínculo do aluno é diferente de ""Formado"" e for informado o ""Semestre de Conclusão do Curso"", apresentar mensagem
""Somente poderá ser informado quando a situação do vínculo do aluno for 'Formado'""

Para IES que não são Universidades Federais, se o semestre de conclusão do aluno for igual ao 1º semestre do ano de referência e o semestre de ingresso for igual ao 2º semestre desse mesmo ano, apresentará a mensagem: ""Aluno ingressante do segundo semestre não pode ter situação 'Formado' no primeiro semestre do mesmo ano"". ";;;;;;;;;;;;;;;;;;;;
10;Aluno PARFOR;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
Se o campo Aluno PARFOR for informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: (vazio),0,1""

Se informado “Sim” no campo “Aluno PARFOR” e não for informado “Seleção para Vagas de Programas Especiais” na forma de ingresso/seleção, deverá apresentar a mensagem: ""Aluno PARFOR exige forma de ingresso 'Seleção para Vagas de Programas Especiais'""";"Se o campo Aluno PARFOR não for preenchido quando o curso possui grau acadêmico igual a ""Licenciatura"", deverá apresentar a mensagem: ""Obrigatório informar quando o curso possuir grau acadêmico igual a 'Licenciatura'"".

Se o campo Aluno PARFOR for preenchido quando o curso não possui grau acadêmico igual a ""Licenciatura"", deverá apresentar a mensagem: ""Somente poderá ser informado quando o curso possuir grau acadêmico igual a 'Licenciatura'"" ";;;;;;;;;;;;;;;;;;;;
11;Segunda Licenciatura / Formação pedagógica;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
Se o campo Segunda Licenciatura / Formação pedagógica for informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"""Campo obrigatório quando o curso for de Licenciatura""

Se informado o campo ""Segunda Licenciatura / Formação pedagógica"" e o Grau Acadêmico do curso não for ""Licenciatura"", a seguinte mensagem de erro deverá ser apresentada ""O campo Segunda Licenciatura / Formação pedagógica só pode ser informado se o curso for Licenciatura.""";;;;;;;;;;;;;;;;;;;;
12;Tipo - Segunda Licenciatura / Formação pedagógica;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1 - Segunda Licenciatura
2 - Formação pedagógica
Se o campo Tipo - Segunda Licenciatura / Formação pedagógica for informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: (vazio),0,1""

Se informado o campo ""Tipo - Segunda Licenciatura / Formação pedagógica"" e não for informado o campo ""Segunda Licenciatura / Formação pedagógica"" como ""Sim"", a seguinte mensagem de erro deverá ser apresentada ""O campo ""Tipo - Segunda Licenciatura / Formação pedagógica"" só pode ser informado se o campo ""Segunda Licenciatura / Formação pedagógica"" for informado com ""Sim"".""

Se o campo""Segunda Licenciatura / Formação pedagógica"" como ""Sim"" e ""Tipo - Segunda Licenciatura / Formação pedagógica"" não for informado, deverá apresentar a mensagem: ""Obrigatório informar o campo 'Tipo - Segunda Licenciatura / Formação pedagógica' se o campo 'Segunda Licenciatura / Formação pedagógica' for informado com 'Sim'  "".";;;;;;;;;;;;;;;;;;;;;
13;Semestre de ingresso no curso;6;Fixo;Numérico;Inteiro;Obrigatório;"Deverá ser obrigatoriamente preenchido no seguinte formato ""01AAAA"" ou ""02AAAA"".   Exemplo: 01/2015 (jan - jun) ou 02/2015 (jul - dez) com a fração equivalente ao ano compreendida entre 1900 e 2099.
Se não for informado o Semestre de ingresso corretamente, deverá ser apresentada a mensagem: ""Semestre de ingresso inválido. Informar no formato 01<ano> ou 02<ano> com o valor <ano> compreendido entre 1900 e 2099.""

Se informado com data posterior a 31/12/<ano de referência do censo>, a seguinte mensagem de erro deverá ser apresentada: ""Semestre de ingresso informado deve ser anterior ou igual a data de referência do Censo (31/12/<ano de referência>)"". 

Se a idade do aluno for menor que 13 anos, apresentar a mensagem ""Aluno deve ter idade igual ou superior a 13 anos no semestre de ingresso""

Se a idade do aluno for maior que 110 anos, apresentar mensagem, ""Aluno deve ter idade inferior a 110 anos no semestre de ingresso.""";"--- Universidades Federais ---

Para os ingressantes, o semestre de ingresso precisa ser validado com o período de referência. Se o semestre de ingresso for igual ao segundo período de referência, então não é possível que seja informado o vínculo no primeiro período: ""Não é possível informar o vínculo do aluno ao curso no primeiro período de referência, pois o semestre de ingresso é uma data do segundo período de referência.""

Exceto quando o aluno é ingressante no 2º período de referência, se os semestres de ingresso forem diferentes entre os períodos de referência, apresentar mensagem, ""O semestre de ingresso no curso é diferente do que foi informado no mesmo curso no primeiro período de referência.""";;;;;;;;;;;;;;;;;;;;
14;"Forma de ingresso/seleção 
- Vestibular";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""";"--- Cursos vinculados a uma ABI em atividade ---
""Aluno ingressante em curso vinculado a ABI não pode ter forma de ingresso por vagas novas (Vestibular, ENEM, Avaliação Seriada ou Seleção Simplificada).""";;;;;;;;;;;;;;;;;;;;
15;"Forma de ingresso/seleção 
- Enem";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""";"--- Cursos vinculados a uma ABI em atividade ---
""Aluno ingressante em curso vinculado a ABI não pode ter forma de ingresso por vagas novas (Vestibular, ENEM, Avaliação Seriada ou Seleção Simplificada).""";;;;;;;;;;;;;;;;;;;;
16;"Forma de ingresso/seleção 
- Avaliação Seriada";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""";"--- Cursos vinculados a uma ABI em atividade ---
""Aluno ingressante em curso vinculado a ABI não pode ter forma de ingresso por vagas novas (Vestibular, ENEM, Avaliação Seriada ou Seleção Simplificada).""";;;;;;;;;;;;;;;;;;;;
17;"Forma de ingresso/seleção 
- Seleção Simplificada";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""";"--- Cursos vinculados a uma ABI em atividade ---
""Aluno ingressante em curso vinculado a ABI não pode ter forma de ingresso por vagas novas (Vestibular, ENEM, Avaliação Seriada ou Seleção Simplificada).""";;;;;;;;;;;;;;;;;;;;
18;"Forma de ingresso/seleção 
- Egresso BI/LI";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""

Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""Egresso BI/LI"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";"Se escolhido o valor “1 – Sim” na variável “Egresso de BI/LI” e o aluno estiver sendo vinculado a um curso diferente de “Terminalidade”, deve aparecer a mensagem: ""O curso selecionado não é um curso terminalidade""

Se uma Instituição de Ensino Superior que não seja Universidade Federal informe a forma de egresso BI/LI com o valor ""1 - Sim"", deve aparecer a mensagem: ""Somente é possível informar a forma de ingresso 'Egresso de BI/LI', se a IES é uma Universidade Federal""

Se no 2° período de referência, caso o aluno seja ingressante em curso terminalidade e for informado o valor o valor “1 – Sim” na forma de ingresso “Egresso de BI/LI” e o aluno não possui vínculo no 1º período de referência com situação de “Formado” no curso BI/LI correspondente à terminalidade, deve aparecer a mensagem: ""O aluno possui vínculo a um curso BI ou LI no primeiro semestre e sua situação é diferente de Formado""

Se no 1º período de referência, caso o aluno seja ingressante em curso terminalidade e for informado o valor “1 – Sim” na forma de ingresso “Egresso de BI/LI”, e o aluno possui vínculo no 2º período de referência do ano anterior com situação de “Cursando” ou ""Matrícula Trancada"" no curso BI/LI correspondente à terminalidade e o vínculo do 2º período do ano anterior não foi excluído com motivo de ""Formado"", deve apresentar a mensagem: ""Não é possível selecionar a forma de ingresso ""Egresso de BI/LI"", pois no Censo anterior o aluno não foi informado no curso BI/LI com situação de Formado. Caso a situação do aluno tenha sido informado equivocadamente no Censo anterior, será necessário acessar o menu Anular vínculo, indicar o aluno e o curso BI/LI e selecionar o motivo da anulação.""

Se um aluno for vinculado simultaneamente a um curso BI/LI e a um curso terminalidade (vinculado a esse curso BI/LI), com situações de ""Cursando"" ou ""Matrícula trancada"" em ambos os cursos, deverá apresentar a mensagem: ""Aluno não pode estar com mais de um vínculo ativo (na situação de Cursando ou Matrícula Trancada) em BI ou LI e em curso terminalidade vinculado a esse BI ou LI no mesmo período de referência.""";;;;;;;;;;;;;;;;;;;;
19;"Forma de ingresso/seleção 
- PEC-G";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, quando aluno de nacionalidade estrangeira, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

Quando informado 1 - Sim para forma de ingresso Convênio PEC-G e o aluno possui nacionalidade Brasileira ou Naturalizado, aparecer a mensagem: ""Preencher com um dos valores: 0""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""
Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""PEC-G"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";;;;;;;;;;;;;;;;;;;;;
20;"Forma de ingresso/seleção 
- Transferência Ex Officio";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""

Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""Transferência Ex Officio"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";;;;;;;;;;;;;;;;;;;;;
21;"Forma de ingresso/seleção 
- Decisão judicial";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""

Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""Decisão judicial"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";;;;;;;;;;;;;;;;;;;;;
22;"Forma de ingresso 
- Seleção para Vagas Remanescentes";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""

Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""Seleção para Vagas Remanescentes"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";;;;;;;;;;;;;;;;;;;;;
23;"Forma de ingresso 
- Seleção para Vagas de Programas Especiais";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se a Forma de ingresso/seleção não for informada ou informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1""

""Somente as formas de seleção 'Vestibular', 'Enem' e 'Seleção Simplificada' podem ser selecionadas simultaneamente""

Se alguma forma de ingresso/seleção for informada com o valor ""1 - Sim"" simultaneamente com a forma de ingresso/seleção ""Seleção para Vagas de Programas Especiais"", o sistema deve apresentar a mensagem: “Esta forma de seleção não pode ser informada simultaneamente com as demais”";;;;;;;;;;;;;;;;;;;;;
24;Mobilidade acadêmica;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se o campo Mobilidade acadêmica for informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: (vazio),0,1""";"----Universidades Federais----
Se o campo Mobilidade acadêmica não for preenchido quando a situação do vínculo do aluno é ""Cursando"" ou ""Formado"", deverá apresentar a mensagem: ""Campo obrigatório quando o situação do aluno for 'Cursando' ou 'Formado'""

Se o campo Mobilidade acadêmica for preenchido quando a situação do vínculo do aluno é diferente de ""Cursando"" ou “Formado”, deverá apresentar a mensagem: ""Somente é possível informar se a situação do aluno for 'Cursando' ou ‘Formado’”.

---Demais IES---
Se o campo Mobilidade acadêmica não por preenchido, deverá apresentar a mensagem: ""Campo obrigatório"".";;;;;;;;;;;;;;;;;;;;
25;Tipo de mobilidade acadêmica;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1 - Nacional
2 - Internacional

Se o campo Tipo de mobilidade acadêmica for informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: (vazio),1,2""

Se o campo Tipo de mobilidade acadêmica for preenchido quando não informada a opção “1 - Sim” no campo Mobilidade acadêmica, deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com mobilidade acadêmica""

Se o campo Tipo de mobilidade acadêmica não for preenchido quando informada a opção “1 - Sim” no campo Mobilidade acadêmica, deverá apresentar a mensagem: ""Campo obrigatório quando possuir mobilidade acadêmica"".";;;;;;;;;;;;;;;;;;;;;
26;Mobilidade acadêmica Nacional - IES destino;12;Variável;Numérico;Inteiro;Condicional;"Se o campo IES destino for preenchido quando o campo Tipo de mobilidade acadêmica não for informado com a opção “1 - Nacional”, deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com mobilidade acadêmica 'Nacional'""

Se o campo IES destino não for preenchido quando o campo Tipo de mobilidade acadêmica for informado com a opção “1 - Nacional”, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com mobilidade acadêmica 'Nacional'""

Se o código da IES destino for igual ao código da IES do aluno, deverá apresentar a mensagem: ""O código da IES destino deve ser diferente do código da IES do aluno""";"Se o código da IES não for de uma IES com situação ativa no Censo, deverá apresentar a mensagem: ""IES destino informada inválida.""";;;;;;;;;;;;;;;;;;;;
27;Mobilidade acadêmica Internacional - País destino;3;Fixo;Alfanumérico;-;Condicional;"Se o campo País destino não for preenchido quando informada qualquer opção no campo Tipo de mobilidade acadêmica internacional, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com tipo de mobilidade acadêmica 'Internacional'""

Se o campo País destino for preenchido quando o campo Tipo de mobilidade acadêmica internacional não for informado, deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com tipo de mobilidade acadêmica 'Internacional'""

Se o código do país destino não for válido de acordo com a tabela corporativa de países, deverá aparecer a mensagem: ""País não encontrado"" 

Se o código do País destino for igual a BRA, deverá apresentar a mensagem: ""Valor 'BRA' não permitido""";;;;;;;;;;;;;;;;;;;;;
28;Financiamento estudantil;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
Se o Financiamento estudantil for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""

Se não for informado o Tipo de Financiamento Estudantil Reembolsável ou não Reembolsável com valor ""1-Sim"", quando informado com o valor ""1-Sim"" o Financiamento Estudantil, deverá ser apresentada a mensagem: ""É obrigatório especificar pelo menos um tipo financiamento estudantil"".";"Se não for informado o campo Financiamento Estudantil quando (curso gratuito = não) ou a IES não possuir (Categoria administrativa = Pública Federal) ou (Categoria administrativa = Pública Estadual e Organização acadêmica = Universidade),  deverá ser apresentada a mensagem: ""Campo obrigatório quando o curso não for gratuito ou para as IES que não possuem Categoria administrativa = Pública Federal ou não possuem Categoria administrativa = Pública Estadual e Organização acadêmica = Universidade""

Se o campo for informado e o curso for gratutito, apresentar a mensagem ""Somente é possível informar se o curso não for gratuito""

Se o campo for informado e a IES possuir Categoria administrativa = Pública Federal ou (Categoria administrativa = Pública Estadual e Organização acadêmica = Universidade), deverá ser apresentada a mensagem: ""Preenchimento exclusivo para as IES que não possuem Categoria administrativa = Pública Federal ou não possuem Categoria administrativa = Pública Estadual e Organização acadêmica = Universidade""";;;;;;;;;;;;;;;;;;;;
29;"Financiamento Estudantil Reembolsável
- FIES";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento  exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
30;"Financiamento Estudantil Reembolsável
- Governo Estadual";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
31;"Financiamento Estudantil Reembolsável
-Governo Municipal";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
32;"Financiamento Estudantil Reembolsável 
- IES";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
33;"Financiamento Estudantil Reembolsável
- Entidades externas";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
34;"Tipo de financiamento não reembolsável
- ProUni integral";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
35;"Tipo de financiamento não reembolsável
- ProUni parcial";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
36;"Tipo de financiamento não reembolsável
- Entidades externas";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento  exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
37;"Tipo de financiamento não reembolsável
- Governo estadual";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento  exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
38;"Tipo de financiamento não reembolsável
- IES";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
39;"Tipo de financiamento não reembolsável
- Governo municipal";1;Fixo;Numérico;Inteiro;Condicional;"Se o campo Financiamento Estudantil for informado com o valor ""1-Sim"" e este campo não for informado, deverá apresentar a mensagem: 
""Preenchimento obrigatório para quando houver financiamento estudantil"".

Se informado ""1-Sim"" e não informado a opção ""1-Sim"" no campo Financiamento estudantil, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver financiamento estudantil""

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de Financiamento estudantil reembolsável for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
40;Apoio Social;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
Se o Apoio Social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (0,1)""

Se nenhum tipo de apoio social for informado com valor ""1-Sim"" e se informado ""1-Sim"" neste campo, deverá aparecer a mensagem: ""É obrigatório selecionar pelo menos um dos tipos quando estiver utilizando apoio social""";"

";;;;;;;;;;;;;;;;;;;;
41;"Tipo de apoio social
- Alimentação";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
42;"Tipo de apoio social
- Moradia";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
43;"Tipo de apoio social
- Transporte";1;Fixo;Numérico;Inteiro;Condicional;"Se informado ""1-Sim"" neste campo e informada a opção ""0 - Não"" no campo Apoio Social, deverá apresentar a mensagem: ""Preenchimento exclusivo para quando houver apoio social""

Se o campo Apoio Social for informado com o valor ""1-Sim"" e
este campo não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para quando houver apoio social"".

- Valores válidos:
0 - Não
1 - Sim
Se o Tipo de apoio social for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1""";;;;;;;;;;;;;;;;;;;;;
